center_year,sex,actual_gap,cf_gap,reduction,actual_b_e0,cf_b_e0
2006,Male,7.57,2.19,5.38,69.83,75.21
2006,Female,6.24,4.32,1.91,75.81,77.73
2010,Male,6.69,3.64,3.05,71.38,74.43
2010,Female,5.78,5.16,0.62,76.87,77.49
2016,Male,7.91,4.17,3.75,70.03,73.78
2016,Female,5.72,4.37,1.35,76.53,77.88
