birth_week,birth_year,group,cohort,study,week_in_year,age,cause,deaths,rate
10-16 February 1944,1944,1,0,NSHD,1,26,cancer,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,26,cardiovascular,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,26,external,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,26,other,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,26,respiratory,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,27,cancer,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,27,cardiovascular,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,27,external,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,27,other,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,27,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,28,cancer,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,28,cardiovascular,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,28,external,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,28,other,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,28,respiratory,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,29,cancer,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,29,cardiovascular,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,29,external,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,29,other,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,29,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,30,cancer,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,30,cardiovascular,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,30,external,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,30,other,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,30,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,31,cancer,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,31,cardiovascular,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,31,external,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,31,other,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,31,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,32,cancer,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,32,cardiovascular,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,32,external,3.0,0.1956436676666232
10-16 February 1944,1944,1,0,NSHD,1,32,other,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,32,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,33,cancer,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,33,cardiovascular,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,33,external,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,33,other,4.0,0.26085822355549754
10-16 February 1944,1944,1,0,NSHD,1,33,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,34,cancer,6.0,0.3912873353332464
10-16 February 1944,1944,1,0,NSHD,1,34,cardiovascular,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,34,external,7.0,0.45650189122212076
10-16 February 1944,1944,1,0,NSHD,1,34,other,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,34,respiratory,0.0,0.0
10-16 February 1944,1944,1,0,NSHD,1,35,cancer,2.0,0.13042911177774877
10-16 February 1944,1944,1,0,NSHD,1,35,cardiovascular,6.0,0.3912873353332464
10-16 February 1944,1944,1,0,NSHD,1,35,external,1.0,0.06521455588887438
10-16 February 1944,1944,1,0,NSHD,1,35,other,2.0,0.13042911177774877
