Study,Age interval,Control mean,Control SD,Control N cells,Treated mean,Treated SD,Treated N cells
NSHD 1946,20–29,0.6474520870634084,0.21810261865371683,264,0.6412764662405982,0.1721301934248872,6
NSHD 1946,30–39,0.8731339744121798,0.2958785250478767,440,0.7890961262553802,0.28912603657529207,10
NSHD 1946,40–49,1.9374651694985594,0.6084860102674742,440,1.767314464588496,0.5381682805733079,10
NSHD 1946,50–59,4.330098296121513,1.110369312273551,440,4.160688665710187,0.890363801532595,10
NSHD 1946,60–69,7.578783629960753,1.4538439082015155,352,7.238815703665058,1.0929172428069769,8
NCDS 1958,10–19,0.48670067704566206,0.27140986220478447,352,0.5706273640276509,0.3033904020558197,8
NCDS 1958,20–29,0.5964167565837059,0.210933660810052,440,0.6195382809443067,0.1031132666025949,10
NCDS 1958,30–39,0.8618696420313742,0.2893554652243442,440,0.7630103038998305,0.3225026648954953,10
NCDS 1958,40–49,1.789398484650865,0.5184598832719567,440,1.767314464588496,0.53552759594196,10
NCDS 1958,50–59,3.1542600914584744,0.632832810913407,264,3.1411677753141167,0.43731048338708706,6
BCS70 1970,0–9,1.4704066451263882,3.794586069270141,413,2.1781661666884045,5.0799678665483725,10
BCS70 1970,10–19,0.3478603697072459,0.21401583116192086,440,0.32607277944437196,0.2980589800617819,10
BCS70 1970,20–29,0.6136096849544092,0.21216262439137196,440,0.6586670144776314,0.1550894220402328,10
BCS70 1970,30–39,0.9070751864543439,0.2685866369651915,440,0.9651754271553411,0.3461767616606997,10
BCS70 1970,40–49,1.3972959673690077,0.3702585513628605,176,1.6140602582496415,0.4592111250440765,4
