spec,coef,se,t,pval,ci_lo,ci_hi,n
"B: Baseline (all weeks, level rate)",0.060360800774999106,0.026695405011658048,2.261093276113967,0.02375348166672688,0.008038768399439268,0.11268283315055894,5886
R1: Narrow window (weeks 5–9),0.03909775059880094,0.02412849167325923,1.620397624859892,0.1051468897637316,-0.008193224082061738,0.08638872527966363,3270
R2: Narrow window (weeks 6–9),0.023646023344352576,0.02712141100515292,0.8718581544249288,0.3832857644463066,-0.029510965435655415,0.07680301212436057,2616
R3: Log outcome (log rate),0.055981684667785,0.02649443488877504,2.1129601330543153,0.03460418027412517,0.004053546495044448,0.10790982284052555,5886
R4: Drop NSHD (NCDS + BCS70),0.028034925121946996,0.022330317598161124,1.2554646837739398,0.2093101207433874,-0.01573169313378977,0.07180154337768377,3906
R5: Drop NCDS (NSHD + BCS70),0.10124549540754176,0.0311791962856257,3.2472131250611542,0.001165410847972442,0.04013539362081035,0.16235559719427317,3906
R6: Drop BCS70 (NSHD + NCDS),0.05189837348969541,0.037860150651801976,1.370791520799859,0.17043995493544906,-0.022306158237097112,0.12610290521648793,3960
