age_interval,age_lo,age_hi,coef,se,pval,n,stars
Age 0–9,0,9,0.06970469069425567,0.028434789813875982,0.014230662980641677,423,**
Age 10–19,10,19,0.03825148616670715,0.046906967389233264,0.41480014051582825,810,
Age 20–29,20,29,0.038753422354616984,0.024289991472397052,0.11061205232147205,1170,
Age 30–39,30,39,-0.041812001296023096,0.04797939439405366,0.3835044221648657,1350,
Age 40–49,40,49,0.026316464443836556,0.06641784014346526,0.6919384310360553,1080,
Age 50–59,50,59,0.14477880254038716,0.09286091942840467,0.11897438781985632,720,
Age 60–69,60,69,0.49690256420736223,0.17672394951425568,0.004927365105466611,360,***
