center_year,sex,actual_gap,cf_gap,reduction,actual_w_e0,cf_w_e0
2006,Male,5.29,3.29,2.0,79.36,77.37
2006,Female,5.05,3.84,1.21,83.27,82.06
2010,Male,6.05,4.32,1.73,79.76,78.04
2010,Female,6.32,5.03,1.3,83.91,82.61
2016,Male,8.5,6.07,2.43,80.21,77.78
2016,Female,5.43,3.83,1.59,83.73,82.13
