age_bin,coef,se,t,pval,ci_lo,ci_hi,n
Age 0–9,0.06970469069425521,0.028434789813875688,2.451387583678938,0.014230662980641328,0.013973526751092473,0.12543585463741794,423
Age 10–19,0.03825148616670697,0.04690696738923296,0.8154755742211386,0.4148001405158275,-0.05368448054018443,0.13018745287359837,810
Age 20–29,0.03875342235461708,0.024289991472397125,1.5954481663221676,0.11061205232147224,-0.00885408611606632,0.08636093082530048,1170
Age 30–39,-0.04181200129602331,0.04797939439405372,-0.8714574626061816,0.38350442216486413,-0.13584988630841158,0.05222588371636495,1350
Age 40–49,0.026316464443837236,0.06641784014346576,0.39622583912684295,0.69193843103605,-0.10386011016829427,0.15649303905596873,1080
Age 50–59,0.14477880254038744,0.09286091942840405,1.5590929255445525,0.11897438781985314,-0.03722525511056027,0.3267828601913352,720
Age 60–69,0.49690256420735796,0.1767239495142556,2.8117443367078825,0.004927365105466962,0.15052998795374217,0.8432751404609737,360
