year,subject,grade,American Indian,Asian,Black,Hispanic,Pacific Islander,Two or More Races,White,BW_gap,HW_gap
2015-16,ELA,3,24.545212121212117,40.3446484375,13.853838809946714,26.34673489278752,,40.32000669792364,51.92927159875306,38.075432788806346,25.58253670596554
2015-16,ELA,4,23.529738562091506,37.11855332629356,12.434569142857143,25.221398312096643,,38.742317251461984,52.74782824230615,40.313259099449006,27.526429930209506
2015-16,ELA,5,23.505485074626865,44.333877229800635,12.592758945386064,25.556835718167,,38.53414655172414,50.79374744447867,38.2009884990926,25.236911726311668
2015-16,ELA,6,20.45448051948052,38.82074174336763,11.629861923706997,23.01660233066278,,39.91400865800866,51.276507709644605,39.64664578593761,28.259905378981824
2015-16,ELA,7,22.408674698795178,44.42350485991996,12.928877031287898,25.332215282880238,,36.57225142857143,49.21177154187206,36.282894510584164,23.879556258991823
2015-16,ELA,8,24.619148936170212,41.78489553924336,12.547710557532623,24.78028878822197,,36.49272727272727,48.49674201501427,35.949031457481645,23.7164532267923
2015-16,Mathematics,3,28.10594674556212,44.86549665178571,15.045307212822797,28.498293277038,,44.00456128600134,58.4752880761523,43.429980863329504,29.9769947991143
2015-16,Mathematics,4,20.888069620253166,41.81604012671595,10.384025676295279,23.239631229235883,,37.78960029069767,55.722961487764344,45.338935811469064,32.48333025852846
2015-16,Mathematics,5,29.600040000000003,47.060613850996845,9.812347805568665,24.00458423716558,,36.37049079754601,53.99750553112835,44.185157725559684,29.992921293962766
2015-16,Mathematics,6,21.30536082474227,46.182906215921484,8.617614141887147,21.40866921536501,,38.52791341991342,52.674487024411704,44.05687288252456,31.265817809046695
2015-16,Mathematics,7,19.072888283378745,39.62177244139508,7.324348249027238,18.761717005308434,,32.349863791146426,48.547257731390964,41.222909482363725,29.78554072608253
2015-16,Mathematics,8,13.28813953488372,39.585654126895,6.166284566296383,15.564890204315448,,28.2966709346991,41.81072271795156,35.64443815165518,26.245832513636117
2016-17,ELA,3,24.76658878504673,37.21312535132096,13.239593110871901,24.757123782595034,,39.963463892288864,51.25533605294687,38.01574294207497,26.49821227035184
2016-17,ELA,4,26.85515901060071,41.73692647871753,14.993074750108649,28.940881648299,,42.63636475662353,56.766050137572606,41.77297538746396,27.825168489273604
2016-17,ELA,5,21.472628205128203,40.189303797468355,14.847818659658344,29.658501263423876,,40.81448888888889,56.57827813815864,41.73045947850029,26.91977687473476
2016-17,ELA,6,24.819640287769786,45.81452860169492,14.431420415620005,26.744551639916256,,38.681418604651164,54.328762385802214,39.89734197018221,27.584210745885958
2016-17,ELA,7,22.915000000000003,46.689375678610205,14.447675115207373,26.241230475529324,,39.79504288164666,51.187888464559464,36.74021334935209,24.94665798903014
2016-17,ELA,8,20.218852459016393,41.622486865148865,12.012302477793362,23.79578762922727,,34.24909715407262,48.601092543942805,36.58879006614944,24.805304914715535
2016-17,Mathematics,3,33.17742990654206,45.86736368746486,15.249596739596738,28.837411653840118,,42.75465286236298,58.60460660694928,43.35500986735254,29.767194953109165
2016-17,Mathematics,4,25.442862190812722,39.745644002211165,10.85615351068469,22.918033870967747,,38.93872458410351,55.14278257969484,44.28662906901015,32.22474870872709
2016-17,Mathematics,5,16.344871794871796,42.45744725738396,11.563850197109067,25.88626660341556,,38.07408888888889,55.269542505974734,43.705692308865665,29.383275902559173
2016-17,Mathematics,6,28.04357933579336,47.19322033898304,9.914889244119662,22.42489033163713,,35.955586152635725,53.55575556843587,43.64086632431621,31.13086523679874
2016-17,Mathematics,7,19.57156583629893,40.174408251900104,7.475084432107333,18.940837395543173,,34.75256388415672,48.4948224587633,41.01973802665597,29.55398506322013
2016-17,Mathematics,8,15.774422535211269,38.87909515469936,7.140336812144213,16.08943731317039,,28.70171198388722,42.939841244039876,35.79950443189566,26.850403930869486
2017-18,ELA,3,22.519427480916033,37.32375591296122,12.003389529724933,21.831688693098386,,34.29463190184049,49.1039098265896,37.100520296864666,27.272221133491215
2017-18,ELA,4,25.102914979757085,41.06107262569833,12.41244722102542,26.830324604045785,,40.22744886363636,53.78034810126582,41.3679008802404,26.950023497220037
2017-18,ELA,5,22.78528481012658,40.10830517711172,13.215779178439469,28.32560225846926,,40.2487293144208,53.783910846219335,40.568131667779866,25.458308587750075
2017-18,ELA,6,16.823714285714285,42.990404984423684,12.365791139240507,25.395022123893803,,37.19275789473684,52.02360444493709,39.657813305696585,26.62858232104329
2017-18,ELA,7,26.506465863453816,46.09738910724313,14.86498592870544,28.696494791666666,,38.21018922852984,52.9956231474556,38.13063721875017,24.299128355788937
2017-18,ELA,8,15.958156028368798,39.273596214511045,9.59342437456966,20.187755725190836,,32.02115569823435,44.32257512003021,34.72915074546055,24.134819394839372
2017-18,Mathematics,3,26.29733333333333,47.59578699340245,15.421816570669026,30.0240260798696,16.67,41.44141198044009,61.18527832369942,45.7634617530304,31.16125224382982
2017-18,Mathematics,4,23.07728744939271,42.73964245810056,10.667059582705958,24.979960648512513,,39.68038198403649,56.01312556509946,45.3460659823935,31.033164916586944
2017-18,Mathematics,5,25.6971826625387,46.32104632152588,12.519,27.966248826291082,,39.03767676767677,56.45534395166827,43.93634395166827,28.489095125377187
2017-18,Mathematics,6,17.777814814814814,43.71935098650053,11.030099435028246,23.815304801010736,,37.894407017543855,54.67776078463968,43.64766134961143,30.862455983628944
2017-18,Mathematics,7,20.080481927710842,40.315176866928695,8.33585383329353,20.23102286611974,,32.867985294117645,48.17039613285687,39.83454229956334,27.93937326673713
2017-18,Mathematics,8,18.909963636363635,41.06085173501577,7.046436304998848,17.393947458791207,,30.60668016194332,44.92535763429835,37.8789213292995,27.531410175507144
2018-19,ELA,3,14.404485596707817,35.25505221282944,12.004924242424245,21.687548268974698,14.290000000000001,34.62999474513926,47.44250493391544,35.43758069149119,25.75495666494074
2018-19,ELA,4,23.846923076923076,39.33615996258184,13.402126224156692,26.50167199488491,,39.20743970315399,52.172646046154284,38.770519821997595,25.670974051269376
2018-19,ELA,5,17.074285714285715,39.563216438356164,11.647775607638886,23.6684398782344,,37.41736021505376,49.334069983136594,37.68629437549771,25.665630104902196
2018-19,ELA,6,18.624251012145752,43.34283835616438,12.044040743228118,25.116003110419907,,33.81701075268817,49.51880210138937,37.47476135816125,24.402798990969462
2018-19,ELA,7,17.664731861198735,45.621160409556325,14.387269593196967,28.283538075838297,,41.28381792519408,53.39436377573368,39.00709418253671,25.110825699895383
2018-19,ELA,8,18.287898832684824,40.37555862831858,11.208447831184056,22.029439236692333,,30.487957695113053,43.510602224676134,32.302154393492074,21.4811629879838
2018-19,Mathematics,3,19.215607843137256,47.354814448292935,15.747515439429923,29.747144273673772,28.57,45.507619548081976,60.24451632189406,44.497000882464135,30.49737204822029
