year,subject,gap_pair,gap_desc,avg_score_white,avg_score_minority,gap
2015-16,Composite,BW,Black–White,21.302328650275967,15.664620883329079,5.637707766946889
2015-16,Composite,HW,Hispanic–White,21.302328650275967,17.439053902929995,3.8632747473459723
2015-16,Mathematics,BW,Black–White,21.169975664826893,15.999714066887927,5.170261597938966
2015-16,Mathematics,HW,Hispanic–White,21.169975664826893,17.640713486915676,3.5292621779112174
2015-16,English,BW,Black–White,20.568211239337682,14.045333163135052,6.52287807620263
2015-16,English,HW,Hispanic–White,20.568211239337682,16.097398792216502,4.47081244712118
2016-17,Composite,BW,Black–White,21.338816767755823,15.996960707780381,5.341856059975441
2016-17,Composite,HW,Hispanic–White,21.338816767755823,17.622905964763323,3.7159108029925
2016-17,Mathematics,BW,Black–White,21.190068724320096,16.14065833983867,5.049410384481426
2016-17,Mathematics,HW,Hispanic–White,21.190068724320096,17.724888558692424,3.4651801656276717
2016-17,English,BW,Black–White,20.57045636861671,14.383957845433256,6.186498523183454
2016-17,English,HW,Hispanic–White,20.57045636861671,16.163725323710466,4.406731044906245
2017-18,Composite,BW,Black–White,21.439331330744622,15.672825809742413,5.766505521002209
2017-18,Composite,HW,Hispanic–White,21.439331330744622,17.441236111111113,3.998095219633509
2017-18,Mathematics,BW,Black–White,21.17945466090312,15.869543483805153,5.309911177097966
2017-18,Mathematics,HW,Hispanic–White,21.17945466090312,17.51021031746032,3.6692443434427986
2017-18,English,BW,Black–White,20.829177229101035,14.422134659525632,6.4070425695754025
2017-18,English,HW,Hispanic–White,20.829177229101035,16.345567460317458,4.483609768783577
2018-19,Composite,BW,Black–White,21.181688314913696,15.47413397384574,5.707554341067956
2018-19,Composite,HW,Hispanic–White,21.181688314913696,17.22088202662722,3.960806288286477
2018-19,Mathematics,BW,Black–White,21.09960213584999,15.749028556178274,5.3505735796717175
2018-19,Mathematics,HW,Hispanic–White,21.09960213584999,17.36918823964497,3.7304138962050217
2018-19,English,BW,Black–White,20.36815795355768,14.155390979450226,6.2127669741074545
2018-19,English,HW,Hispanic–White,20.36815795355768,15.942028476331362,4.426129477226318
2021-22,Composite,BW,Black–White,20.113796112963733,15.094264767490575,5.019531345473158
2021-22,Composite,HW,Hispanic–White,20.113796112963733,16.434136775719352,3.679659337244381
2021-22,Mathematics,BW,Black–White,19.968229470612755,15.108818600754088,4.859410869858667
2021-22,Mathematics,HW,Hispanic–White,19.968229470612755,16.57051635790304,3.3977131127097167
2021-22,English,BW,Black–White,18.962137609420594,13.725404273146204,5.236733336274391
2021-22,English,HW,Hispanic–White,18.962137609420594,14.947292077256602,4.014845532163992
2022-23,Composite,BW,Black–White,20.283196716885364,14.774115449915111,5.509081266970252
2022-23,Composite,HW,Hispanic–White,20.283196716885364,16.571502458877394,3.71169425800797
2022-23,Mathematics,BW,Black–White,20.02994627139694,14.69890662139219,5.331039650004751
2022-23,Mathematics,HW,Hispanic–White,20.02994627139694,16.557549601492283,3.472396669904658
2022-23,English,BW,Black–White,19.1874277768778,13.314733446519522,5.872694330358279
2022-23,English,HW,Hispanic–White,19.1874277768778,15.097851449889774,4.089576326988027
