age,q_base,lx_base,dx,Lx,Tx,ex_base,q_treated,lx_treated,ex_treated
0,0.01593241765408193,100000.0,1593.2417654081928,99203.3791172959,8801589.063824674,88.01589063824674,0.016002122344776184,100000.0,87.73694188868448
1,0.0014831653282155435,98406.7582345918,145.953491875636,98333.78148865399,8702385.684707379,88.43280523439017,0.0015528700189097987,98399.78776552239,88.1556199659313
2,0.0007425566477346834,98260.80474271617,72.9642137734636,98224.32263582943,8604051.903218726,87.56341784241822,0.0008122613384289386,98246.98568523422,87.29194945213716
3,0.0005380200860832137,98187.8405289427,52.827030413706616,98161.42701373585,8505827.580582896,86.62811540371584,0.000607724776777469,98167.18345714493,86.36250450630672
4,0.00048021627518171145,98135.013498529,47.12603064717057,98111.45048320542,8407666.15356916,85.67447900432792,0.0005499209658759666,98107.52482749156,85.41471700852263
5,0.0003557157593938603,98087.88746788184,34.8914073779771,98070.44176419284,8309554.703085955,84.71540082670103,0.00042542045008811546,98053.57344267874,84.46143908516656
6,0.0003231084814494231,98052.99606050387,31.68175465867567,98037.15518317453,8211484.261321763,83.74536823183703,0.00039281317214367827,98011.85944733201,83.4971732003956
7,0.00028901905450751147,98021.31430584518,28.33002758225898,98007.14929205405,8113447.106138588,82.77227420990384,0.00035872374520176664,97973.3590979148,82.52978839495744
8,0.0002401081375908557,97992.98427826293,23.528912952023713,97981.21982178692,8015439.956846534,81.79605933916375,0.00030981282828511093,97938.2137276092,81.5592249874733
9,0.00023862598859338124,97969.4553653109,23.378058138502453,97957.76633624165,7917458.737024748,80.8155838725645,0.00030833067928763645,97907.87121261706,80.5843459580242
10,0.00022394432399575734,97946.0773071724,21.93446807059091,97935.1100731371,7819500.970688506,79.83475383261622,0.00026219581016246425,97877.68321217847,79.60904603460513
11,0.00025980637587987054,97924.14283910181,25.441316662169818,97911.42218077072,7721565.860615369,78.85252438004586,0.00029805786204657747,97852.02009373181,78.62979353492902
12,0.00021334476140788905,97898.70152243965,20.88617511844703,97888.25843488042,7623654.438434598,77.87288615556518,0.00025159624757459595,97822.85452982574,77.65308767715442
13,0.0002550797186033188,97877.8153473212,24.96664559630229,97865.33202452304,7525766.1799997175,76.88939677795626,0.0002933312047700257,97798.24266669899,76.67250398957412
