age_bin,coef,se,t,pval,ci_lo,ci_hi,n
Age 0–9,0.029765157096576123,0.06452471287727997,0.46129855940911657,0.6445844183618928,-0.09670095625568045,0.1562312704488327,423
Age 10–19,0.03623030882715221,0.04507791706183729,0.8037263296228163,0.4215550445448134,-0.05212078511213249,0.12458140276643691,810
Age 20–29,0.036369656168795325,0.02373980922764359,1.532011307253684,0.12551964450200978,-0.010159514917237746,0.08289882725482839,1170
Age 30–39,-0.039400460849528474,0.04618006801726563,-0.8531919189637741,0.3935528839930096,-0.12991173096697914,0.05111080926792219,1350
Age 40–49,0.030908982218163433,0.06289826167832818,0.4914123442113064,0.6231348352004578,-0.09236934536153565,0.15418730979786252,1080
Age 50–59,0.14724223946784498,0.09886372825359338,1.4893454057301667,0.13639643684691133,-0.046527107286553016,0.341011586222243,720
Age 60–69,0.46108728968305634,0.16296066137724216,2.829439238809129,0.004662965336554827,0.1416902624868343,0.7804843168792783,360
