group,study,birth_week,birth_year,cohort,week_in_year,age,deaths_total,rate
1,NSHD,10-16 February 1944,1944,0,1,26,6.0,0.3912873353332464
1,NSHD,10-16 February 1944,1944,0,1,27,7.0,0.45650189122212076
1,NSHD,10-16 February 1944,1944,0,1,28,7.0,0.45650189122212076
1,NSHD,10-16 February 1944,1944,0,1,29,8.0,0.5217164471109951
1,NSHD,10-16 February 1944,1944,0,1,30,10.0,0.652145558888744
1,NSHD,10-16 February 1944,1944,0,1,31,11.0,0.7173601147776184
1,NSHD,10-16 February 1944,1944,0,1,32,7.0,0.45650189122212076
1,NSHD,10-16 February 1944,1944,0,1,33,7.0,0.45650189122212076
1,NSHD,10-16 February 1944,1944,0,1,34,16.0,1.0434328942219901
1,NSHD,10-16 February 1944,1944,0,1,35,12.0,0.7825746706664928
1,NSHD,10-16 February 1944,1944,0,1,36,26.0,1.6955784531107343
1,NSHD,10-16 February 1944,1944,0,1,37,20.0,1.304291117777488
1,NSHD,10-16 February 1944,1944,0,1,38,14.0,0.9130037824442415
1,NSHD,10-16 February 1944,1944,0,1,39,14.0,0.9130037824442415
1,NSHD,10-16 February 1944,1944,0,1,40,11.0,0.7173601147776184
1,NSHD,10-16 February 1944,1944,0,1,41,18.0,1.1738620059997393
1,NSHD,10-16 February 1944,1944,0,1,42,18.0,1.1738620059997393
1,NSHD,10-16 February 1944,1944,0,1,43,31.0,2.0216512325551066
1,NSHD,10-16 February 1944,1944,0,1,44,36.0,2.3477240119994787
1,NSHD,10-16 February 1944,1944,0,1,45,29.0,1.8912221207773574
1,NSHD,10-16 February 1944,1944,0,1,46,30.0,1.956436676666232
1,NSHD,10-16 February 1944,1944,0,1,47,41.0,2.6737967914438503
1,NSHD,10-16 February 1944,1944,0,1,48,43.0,2.804225903221599
1,NSHD,10-16 February 1944,1944,0,1,49,45.0,2.9346550149993478
1,NSHD,10-16 February 1944,1944,0,1,50,45.0,2.9346550149993478
1,NSHD,10-16 February 1944,1944,0,1,51,51.0,3.3259423503325944
1,NSHD,10-16 February 1944,1944,0,1,52,52.0,3.3911569062214686
1,NSHD,10-16 February 1944,1944,0,1,53,59.0,3.8476587974435894
1,NSHD,10-16 February 1944,1944,0,1,54,60.0,3.912873353332464
1,NSHD,10-16 February 1944,1944,0,1,55,66.0,4.30416068866571
1,NSHD,10-16 February 1944,1944,0,1,56,70.0,4.565018912221208
1,NSHD,10-16 February 1944,1944,0,1,57,87.0,5.673666362332073
1,NSHD,10-16 February 1944,1944,0,1,58,64.0,4.173731576887961
1,NSHD,10-16 February 1944,1944,0,1,59,85.0,5.543237250554324
1,NSHD,10-16 February 1944,1944,0,1,60,94.0,6.130168253554193
1,NSHD,10-16 February 1944,1944,0,1,61,92.0,5.999739141776445
1,NSHD,10-16 February 1944,1944,0,1,62,111.0,7.2388157036650576
1,NSHD,10-16 February 1944,1944,0,1,63,107.0,6.977957480109561
1,NSHD,10-16 February 1944,1944,0,1,64,115.0,7.499673927220556
1,NSHD,10-16 February 1944,1944,0,1,65,107.0,6.977957480109561
1,NSHD,10-16 February 1944,1944,0,1,66,119.0,7.760532150776053
