center_year,sex,actual_gap,MKE_pi,Dane_pi,RoW_pi,MKE_omega,Dane_omega,RoW_omega,MKE_local_gap,Dane_local_gap,RoW_local_gap,MKE_contrib,Dane_contrib,RoW_contrib,place_total,white_comp_adj,nonlinearity,decomp_total,place_if_same_dist,composition_effect,Dane_gap_hi,Milwaukee_gap_hi,Rest_of_WI_gap_hi,Statewide_gap_hi,Dane_gap_lo,Milwaukee_gap_lo,Rest_of_WI_gap_lo,Statewide_gap_lo
2006,Male,7.571,0.6579,0.0719,0.2702,0.1243,0.0823,0.7934,8.625,5.288,2.096,5.674,0.38,0.566,6.62,0.556,0.394,7.571,3.17,3.451,8.114192567201739,9.256969639061444,3.36909036864466,8.072081901505586,-2.011870859774703,7.88153918250621,0.38053123902526886,7.0007130818585335
2006,Female,6.237,0.7366,0.0644,0.199,0.1278,0.0833,0.7889,6.043,5.053,4.369,4.451,0.325,0.869,5.646,0.482,0.109,6.237,4.64,1.006,7.679783888099953,6.68088119627108,5.6862687583316385,6.719506712241516,0.7859495463637713,5.429023948728641,2.982414797073437,5.735598831942191
2007,Male,7.015,0.6509,0.0738,0.2753,0.1234,0.0828,0.7938,7.893,6.545,2.148,5.137,0.483,0.591,6.212,0.495,0.308,7.015,3.221,2.991,8.456351827904129,8.602290568906362,3.448359965702182,7.561666954283863,3.570440685578451,7.198672007731851,0.24924963413224113,6.438352722653248
2007,Female,6.146,0.7303,0.0668,0.203,0.1266,0.0838,0.7895,5.958,7.09,4.125,4.351,0.473,0.837,5.661,0.441,0.044,6.146,4.606,1.055,9.479766662673027,6.580891260792988,5.399996791559511,6.6587368869874775,4.167394320747322,5.287010338743383,2.540859608936056,5.545924463941176
2008,Male,6.88,0.6447,0.0756,0.2797,0.1231,0.0834,0.7935,7.767,6.257,2.084,5.007,0.473,0.583,6.063,0.502,0.315,6.88,3.132,2.932,8.622581670853384,8.500737419252257,3.278807211442612,7.3939794310483755,1.70284203191006,7.079353686883943,0.08799628743047698,6.37206080363744
2008,Female,5.769,0.7243,0.0693,0.2065,0.1262,0.0844,0.7894,5.502,7.659,3.784,3.985,0.531,0.781,5.297,0.418,0.055,5.769,4.328,0.969,9.639766486347945,6.130168290044313,5.064863867704504,6.312386743367063,4.815397270653878,4.799110598048286,2.380146783760687,5.250713913955135
2009,Male,6.818,0.6409,0.0771,0.282,0.123,0.0839,0.7931,7.254,7.96,2.958,4.649,0.614,0.834,6.097,0.529,0.192,6.818,3.906,2.191,9.901718602863081,7.838600280076124,4.046805418456559,7.332277999484793,4.922548514067518,6.542662950666255,1.3726987865114524,6.1694135698971575
2009,Female,5.712,0.7199,0.0713,0.2088,0.1261,0.085,0.789,5.179,7.203,4.596,3.729,0.514,0.96,5.202,0.475,0.035,5.712,4.891,0.31,9.211311305277967,5.794785052082439,5.783169991819981,6.206170260789035,3.827099214121552,4.46670311385356,3.1794651182319584,5.189171258399621
2010,Male,6.688,0.6379,0.0786,0.2835,0.1229,0.0845,0.7925,7.102,6.049,3.488,4.53,0.475,0.989,5.994,0.502,0.192,6.688,4.148,1.846,8.214062060006322,7.768038764653157,4.568646861392165,7.22213385930152,1.0834082436202512,6.424362631168032,2.1393675254743854,6.12762258705197
2010,Female,5.781,0.7162,0.0729,0.2108,0.1259,0.0856,0.7884,5.281,6.324,5.135,3.782,0.461,1.083,5.326,0.403,0.052,5.781,5.255,0.071,8.638847895834266,5.888335024867817,6.418500134871684,6.259434994941168,3.0132620192828483,4.630828682316764,3.7688988313623097,5.2694124409380425
