geography,sex,black_le_change,gap_change,black_le_change_lo,black_le_change_hi,gap_change_lo,gap_change_hi,sex_label
Statewide,1,0.206,0.34,-0.5745579436822549,0.9529543064720634,-0.4100750507800839,1.1147783702142302,Male
Statewide,2,0.72,-0.514,-0.04067351970658847,1.4245606766436516,-1.2393235896829355,0.2461017278985489,Female
Milwaukee,1,0.522,0.606,-0.3477252203792364,1.4174033779743864,-0.383605127674053,1.6094098103158256,Male
Milwaukee,2,0.709,0.06,-0.04828680138845164,1.5187583372265954,-0.8475609391798062,0.8992132997183788,Female
Dane,1,-2.369,3.214,-10.452631134457764,4.99291241606064,-4.0747232967372,11.257285096783983,Male
Dane,2,0.078,0.374,-4.735245993655981,3.7627241414984964,-3.3266897981771306,5.174078380296946,Female
Rest_of_WI,1,-1.332,1.742,-3.380209964287935,0.5081460348534211,-0.15592651620474807,3.896251560625518,Male
Rest_of_WI,2,0.114,-0.042,-1.7720462067467146,1.8512334560649428,-1.7633503533298973,1.8168383836602093,Female
