study,age_interval,ctrl_mean,ctrl_sd,ctrl_n,trt_mean,trt_sd,trt_n
BCS70 1970,Age 0–9,0.4551417839880767,0.39623089625032953,413,0.5245213742460002,0.5397800959536874,10
BCS70 1970,Age 10–19,0.3377883243438693,0.20672058796051437,440,0.3278258589037503,0.29966144769652275,10
BCS70 1970,Age 20–29,0.5962646846294091,0.20512239937134563,440,0.6622082349855761,0.15592323613722311,10
BCS70 1970,Age 30–39,0.8815594083364252,0.2607781806622255,440,0.9703645423551006,0.34803792704597164,10
BCS70 1970,Age 40–49,1.3386236298296088,0.34436998441279987,176,1.6227380015735626,0.46168000206044213,4
NCDS 1958,Age 10–19,0.5008413660934261,0.2807229398612998,352,0.5980248094863825,0.3179570396147998,8
NCDS 1958,Age 20–29,0.6182627894829332,0.22148964875958826,440,0.6492840788709291,0.10806402830087072,10
NCDS 1958,Age 30–39,0.8918663372575351,0.30025773636928166,440,0.7996446023989342,0.33798693664405877,10
NCDS 1958,Age 40–49,1.8521456654172888,0.5412099709774345,440,1.852168267094965,0.5612398015360007,10
NCDS 1958,Age 50–59,3.3079295016187396,0.7091864876258708,264,3.291984189363133,0.45830700558778004,6
NSHD 1946,Age 20–29,0.6341168585110198,0.2092130241627031,264,0.7015040722905891,0.18829637139127678,6
NSHD 1946,Age 30–39,0.870689225076597,0.28616992162618626,440,0.8632067059033357,0.3162802671550233,10
NSHD 1946,Age 40–49,1.933846349596049,0.5958898177482465,440,1.933297663634742,0.5887121394193773,10
NSHD 1946,Age 50–59,4.317056443166243,1.0597258340249094,440,4.551453540217585,0.973985270747337,10
NSHD 1946,Age 60–69,7.676136179867155,1.5002162412952615,352,7.918673087212415,1.1955621902052544,8
