district_label,tier,year,subject,race,mean_ss,n_tested
Milwaukee,Tier 1,2013-14,Reading,Black,447.4666643253495,14237.0
Milwaukee,Tier 1,2013-14,Reading,Hispanic,463.3319937070939,6992.0
Milwaukee,Tier 1,2013-14,Reading,White,489.5643168418354,3901.0
Racine Unified,Tier 1,2008-09,Math,Black,456.6527289985762,2107.0
Racine Unified,Tier 1,2008-09,Math,Hispanic,464.1486323851203,1828.0
Racine Unified,Tier 1,2008-09,Math,White,495.097189272821,3878.0
Racine Unified,Tier 1,2008-09,Reading,Black,456.6603791469195,2110.0
Racine Unified,Tier 1,2008-09,Reading,Hispanic,464.0785714285714,1778.0
Racine Unified,Tier 1,2008-09,Reading,White,494.4717122227952,3878.0
Racine Unified,Tier 1,2009-10,Math,Black,459.5086606720303,2113.0
Racine Unified,Tier 1,2009-10,Math,Hispanic,472.3291985706993,1959.0
Racine Unified,Tier 1,2009-10,Math,White,499.35871341945693,3793.0
Racine Unified,Tier 1,2009-10,Reading,Black,459.3224162340727,2119.0
Racine Unified,Tier 1,2009-10,Reading,Hispanic,469.5308294209702,1917.0
Racine Unified,Tier 1,2009-10,Reading,White,496.10255734247295,3793.0
Racine Unified,Tier 1,2010-11,Math,Black,457.83881426586385,2159.0
Racine Unified,Tier 1,2010-11,Math,Hispanic,471.6503536067892,2121.0
Racine Unified,Tier 1,2010-11,Math,White,497.98597260273976,3650.0
Racine Unified,Tier 1,2010-11,Reading,Black,458.28157649253734,2144.0
Racine Unified,Tier 1,2010-11,Reading,Hispanic,469.63623609095305,2067.0
Racine Unified,Tier 1,2010-11,Reading,White,497.43247863247865,3627.0
Racine Unified,Tier 1,2011-12,Math,Black,457.4394927536232,2208.0
Racine Unified,Tier 1,2011-12,Math,Hispanic,473.8072786277237,2157.0
Racine Unified,Tier 1,2011-12,Math,White,498.7581488933601,3479.0
Racine Unified,Tier 1,2011-12,Reading,Black,454.4642824807606,2209.0
Racine Unified,Tier 1,2011-12,Reading,Hispanic,468.0726584673605,2114.0
Racine Unified,Tier 1,2011-12,Reading,White,495.12936781609193,3480.0
Racine Unified,Tier 1,2012-13,Math,Black,460.1168658088235,2176.0
Racine Unified,Tier 1,2012-13,Math,Hispanic,473.1136880400182,2199.0
Racine Unified,Tier 1,2012-13,Math,White,498.92674346201744,3212.0
Racine Unified,Tier 1,2012-13,Reading,Black,458.2236672794118,2176.0
Racine Unified,Tier 1,2012-13,Reading,Hispanic,466.9364834166288,2201.0
Racine Unified,Tier 1,2012-13,Reading,White,496.169707347447,3212.0
Racine Unified,Tier 1,2013-14,Math,Black,457.00892857142856,2072.0
Racine Unified,Tier 1,2013-14,Math,Hispanic,471.63406392694066,2190.0
Racine Unified,Tier 1,2013-14,Math,White,496.71805869074495,3101.0
Racine Unified,Tier 1,2013-14,Reading,Black,453.09297063071733,2077.0
Racine Unified,Tier 1,2013-14,Reading,Hispanic,463.86430530164535,2188.0
Racine Unified,Tier 1,2013-14,Reading,White,493.2067053513861,3102.0
Kenosha,Tier 1,2008-09,Math,Black,471.9874737578727,1429.0
Kenosha,Tier 1,2008-09,Math,Hispanic,480.28899657924745,1754.0
Kenosha,Tier 1,2008-09,Math,White,511.5544617052023,5536.0
Kenosha,Tier 1,2008-09,Reading,Black,465.61777466759975,1429.0
Kenosha,Tier 1,2008-09,Reading,Hispanic,469.6527936145952,1754.0
Kenosha,Tier 1,2008-09,Reading,White,501.10117370892016,5538.0
Kenosha,Tier 1,2009-10,Math,Black,474.530510846746,1429.0
Kenosha,Tier 1,2009-10,Math,Hispanic,483.2723218862122,1951.0
Kenosha,Tier 1,2009-10,Math,White,513.3007510533064,5459.0
Kenosha,Tier 1,2009-10,Reading,Black,467.7252624212736,1429.0
Kenosha,Tier 1,2009-10,Reading,Hispanic,470.2898157625384,1954.0
Kenosha,Tier 1,2009-10,Reading,White,501.3966129622849,5462.0
Kenosha,Tier 1,2010-11,Math,Black,476.4789290681502,1438.0
Kenosha,Tier 1,2010-11,Math,Hispanic,485.85714285714283,2107.0
Kenosha,Tier 1,2010-11,Math,White,513.4693285280728,5272.0
Kenosha,Tier 1,2010-11,Reading,Black,469.08023743016753,1432.0
Kenosha,Tier 1,2010-11,Reading,Hispanic,475.4394862036156,2102.0
Kenosha,Tier 1,2010-11,Reading,White,502.9497245963912,5265.0
Kenosha,Tier 1,2011-12,Math,Black,472.6617686170213,1504.0
Kenosha,Tier 1,2011-12,Math,Hispanic,484.624142599278,2216.0
Kenosha,Tier 1,2011-12,Math,White,513.8545627738617,5249.0
Kenosha,Tier 1,2011-12,Reading,Black,464.03497340425537,1504.0
Kenosha,Tier 1,2011-12,Reading,Hispanic,471.16547833935016,2216.0
