Geography,Sex,Gap (2005-07),Gap (2015-17),Change,White LE Change,Black LE Change,black_le_change_lo,black_le_change_hi,gap_change_lo,gap_change_hi
Statewide,Male,7.57,7.91,0.34,0.55,0.2,-0.57,0.95,-0.41,1.11
Statewide,Female,6.24,5.72,-0.52,0.2,0.72,-0.04,1.42,-1.24,0.25
Milwaukee,Male,8.62,9.23,0.61,1.13,0.52,-0.35,1.42,-0.38,1.61
Milwaukee,Female,6.04,6.1,0.06,0.77,0.71,-0.05,1.52,-0.85,0.9
Dane,Male,5.29,8.5,3.21,0.85,-2.37,-10.45,4.99,-4.07,11.26
Dane,Female,5.05,5.43,0.38,0.46,0.08,-4.74,3.76,-3.33,5.17
Rest of WI,Male,2.1,3.84,1.74,0.41,-1.33,-3.38,0.51,-0.16,3.9
Rest of WI,Female,4.37,4.33,-0.04,0.07,0.12,-1.77,1.85,-1.76,1.82
