Geography,Sex,White,Black,B-W Gap,White_lo,White_hi,Black_lo,Black_hi,Gap_lo,Gap_hi
Dane,Female,83.73,78.3,5.43,83.37,84.09,76.59,80.53,3.28,7.28
Dane,Male,80.21,71.71,8.5,79.87,80.55,69.7,78.93,1.38,10.56
Milwaukee,Female,82.05,75.95,6.1,81.77,82.35,75.45,76.55,5.42,6.74
Milwaukee,Male,77.48,68.25,9.23,77.19,77.78,67.63,68.9,8.56,9.88
Rest of WI,Female,82.13,77.81,4.33,82.01,82.25,76.7,79.1,3.04,5.47
Rest of WI,Male,77.78,73.94,3.84,77.65,77.89,72.86,75.16,2.57,4.92
Statewide,Female,82.25,76.53,5.72,82.16,82.35,76.05,77.02,5.25,6.21
Statewide,Male,77.95,70.03,7.91,77.85,78.05,69.58,70.55,7.4,8.39
