birth_week,death_year,deaths_total,birth_year,group,cohort,study,age,rate,week_in_year
3-9 February 1944,1970,11,1944,1,0,NSHD,26,0.7173601147776184,7
10-16 February 1944,1970,6,1944,1,0,NSHD,26,0.3912873353332464,1
17-23 February 1944,1970,7,1944,1,0,NSHD,26,0.45650189122212076,3
24-1 Feb/March 1944,1970,10,1944,1,0,NSHD,26,0.652145558888744,5
3-9 March 1944,1970,9,1944,1,0,NSHD,26,0.5869310029998697,8
10-16 March 1944,1970,5,1944,1,0,NSHD,26,0.326072779444372,2
17-23 March 1944,1970,10,1944,1,0,NSHD,26,0.652145558888744,4
24-30 March 1944,1970,12,1944,1,0,NSHD,26,0.7825746706664928,6
31-6 March/April 1944,1970,15,1944,1,0,NSHD,26,0.978218338333116,9
3-9 February 1945,1970,6,1945,1,0,NSHD,25,0.3912873353332464,7
10-16 February 1945,1970,9,1945,1,0,NSHD,25,0.5869310029998697,1
17-23 February 1945,1970,4,1945,1,0,NSHD,25,0.26085822355549754,3
24-2 Feb/March 1945,1970,14,1945,1,0,NSHD,25,0.9130037824442415,5
3-9 March 1945,1970,3,1945,1,0,NSHD,25,0.1956436676666232,8
10-16 March 1945,1970,6,1945,1,0,NSHD,25,0.3912873353332464,2
17-23 March 1945,1970,6,1945,1,0,NSHD,25,0.3912873353332464,4
24-30 March 1945,1970,6,1945,1,0,NSHD,25,0.3912873353332464,6
31-6 March/April 1945,1970,9,1945,1,0,NSHD,25,0.5869310029998697,9
3-9 February 1946,1970,11,1946,1,0,NSHD,24,0.7173601147776184,7
10-16 February 1946,1970,3,1946,1,0,NSHD,24,0.1956436676666232,1
17-23 February 1946,1970,5,1946,1,0,NSHD,24,0.326072779444372,3
24-2 Feb/March 1946,1970,13,1946,1,0,NSHD,24,0.8477892265553671,5
3-9 March 1946,1970,5,1946,1,1,NSHD,24,0.326072779444372,8
10-16 March 1946,1970,6,1946,1,0,NSHD,24,0.3912873353332464,2
17-23 March 1946,1970,15,1946,1,0,NSHD,24,0.978218338333116,4
24-30 March 1946,1970,7,1946,1,0,NSHD,24,0.45650189122212076,6
31-6 March/April 1946,1970,9,1946,1,0,NSHD,24,0.5869310029998697,9
3-9 February 1947,1970,11,1947,1,0,NSHD,23,0.7173601147776184,7
10-16 February 1947,1970,12,1947,1,0,NSHD,23,0.7825746706664928,1
17-23 February 1947,1970,13,1947,1,0,NSHD,23,0.8477892265553671,3
24-2 Feb/March 1947,1970,12,1947,1,0,NSHD,23,0.7825746706664928,5
3-9 March 1947,1970,20,1947,1,0,NSHD,23,1.304291117777488,8
10-16 March 1947,1970,9,1947,1,0,NSHD,23,0.5869310029998697,2
17-23 March 1947,1970,13,1947,1,0,NSHD,23,0.8477892265553671,4
24-30 March 1947,1970,12,1947,1,0,NSHD,23,0.7825746706664928,6
31-6 March/April 1947,1970,10,1947,1,0,NSHD,23,0.652145558888744,9
3-9 February 1948,1970,8,1948,1,0,NSHD,22,0.5217164471109951,7
10-16 February 1948,1970,7,1948,1,0,NSHD,22,0.45650189122212076,1
17-23 February 1948,1970,6,1948,1,0,NSHD,22,0.3912873353332464,3
24-1 Feb/March 1948,1970,14,1948,1,0,NSHD,22,0.9130037824442415,5
3-9 March 1948,1970,15,1948,1,0,NSHD,22,0.978218338333116,8
10-16 March 1948,1970,9,1948,1,0,NSHD,22,0.5869310029998697,2
17-23 March 1948,1970,10,1948,1,0,NSHD,22,0.652145558888744,4
24-30 March 1948,1970,12,1948,1,0,NSHD,22,0.7825746706664928,6
31-6 March/April 1948,1970,14,1948,1,0,NSHD,22,0.9130037824442415,9
3-9 February 1956,1970,7,1956,2,0,NCDS,14,0.45650189122212076,7
10-16 February 1956,1970,4,1956,2,0,NCDS,14,0.26085822355549754,1
17-23 February 1956,1970,2,1956,2,0,NCDS,14,0.13042911177774877,3
24-1 Feb/March 1956,1970,7,1956,2,0,NCDS,14,0.45650189122212076,5
3-9 March 1956,1970,2,1956,2,0,NCDS,14,0.13042911177774877,8
10-16 March 1956,1970,4,1956,2,0,NCDS,14,0.26085822355549754,2
17-23 March 1956,1970,3,1956,2,0,NCDS,14,0.1956436676666232,4
24-30 March 1956,1970,8,1956,2,0,NCDS,14,0.5217164471109951,6
31-6 March/April 1956,1970,2,1956,2,0,NCDS,14,0.13042911177774877,9
3-9 February 1957,1970,1,1957,2,0,NCDS,13,0.06521455588887438,7
10-16 February 1957,1970,4,1957,2,0,NCDS,13,0.26085822355549754,1
17-23 February 1957,1970,2,1957,2,0,NCDS,13,0.13042911177774877,3
24-2 Feb/March 1957,1970,6,1957,2,0,NCDS,13,0.3912873353332464,5
3-9 March 1957,1970,2,1957,2,0,NCDS,13,0.13042911177774877,8
10-16 March 1957,1970,8,1957,2,0,NCDS,13,0.5217164471109951,2
17-23 March 1957,1970,4,1957,2,0,NCDS,13,0.26085822355549754,4
24-30 March 1957,1970,3,1957,2,0,NCDS,13,0.1956436676666232,6
31-6 March/April 1957,1970,5,1957,2,0,NCDS,13,0.326072779444372,9
3-9 February 1958,1970,10,1958,2,0,NCDS,12,0.652145558888744,7
10-16 February 1958,1970,4,1958,2,0,NCDS,12,0.26085822355549754,1
17-23 February 1958,1970,3,1958,2,0,NCDS,12,0.1956436676666232,3
24-2 Feb/March 1958,1970,5,1958,2,0,NCDS,12,0.326072779444372,5
3-9 March 1958,1970,7,1958,2,1,NCDS,12,0.45650189122212076,8
10-16 March 1958,1970,3,1958,2,0,NCDS,12,0.1956436676666232,2
17-23 March 1958,1970,4,1958,2,0,NCDS,12,0.26085822355549754,4
24-30 March 1958,1970,7,1958,2,0,NCDS,12,0.45650189122212076,6
31-6 March/April 1958,1970,4,1958,2,0,NCDS,12,0.26085822355549754,9
3-9 February 1959,1970,5,1959,2,0,NCDS,11,0.326072779444372,7
10-16 February 1959,1970,8,1959,2,0,NCDS,11,0.5217164471109951,1
17-23 February 1959,1970,4,1959,2,0,NCDS,11,0.26085822355549754,3
24-2 Feb/March 1959,1970,3,1959,2,0,NCDS,11,0.1956436676666232,5
3-9 March 1959,1970,6,1959,2,0,NCDS,11,0.3912873353332464,8
10-16 March 1959,1970,3,1959,2,0,NCDS,11,0.1956436676666232,2
17-23 March 1959,1970,2,1959,2,0,NCDS,11,0.13042911177774877,4
24-30 March 1959,1970,5,1959,2,0,NCDS,11,0.326072779444372,6
31-6 March/April 1959,1970,5,1959,2,0,NCDS,11,0.326072779444372,9
3-9 February 1960,1970,4,1960,2,0,NCDS,10,0.26085822355549754,7
10-16 February 1960,1970,6,1960,2,0,NCDS,10,0.3912873353332464,1
17-23 February 1960,1970,10,1960,2,0,NCDS,10,0.652145558888744,3
24-1 Feb/March 1960,1970,5,1960,2,0,NCDS,10,0.326072779444372,5
3-9 March 1960,1970,2,1960,2,0,NCDS,10,0.13042911177774877,8
10-16 March 1960,1970,3,1960,2,0,NCDS,10,0.1956436676666232,2
17-23 March 1960,1970,6,1960,2,0,NCDS,10,0.3912873353332464,4
24-30 March 1960,1970,4,1960,2,0,NCDS,10,0.26085822355549754,6
31-6 March/April 1960,1970,7,1960,2,0,NCDS,10,0.45650189122212076,9
8-14 March 1968,1970,9,1968,3,0,BCS70,2,0.5869310029998697,9
15-21 March 1968,1970,10,1968,3,0,BCS70,2,0.652145558888744,2
22-28 March 1968,1970,7,1968,3,0,BCS70,2,0.45650189122212076,4
29-4 March/April 1968,1970,20,1968,3,0,BCS70,2,1.304291117777488,6
5-11 April 1968,1970,12,1968,3,0,BCS70,2,0.7825746706664928,8
12-18 April 1968,1970,18,1968,3,0,BCS70,2,1.1738620059997393,1
19-25 April 1968,1970,15,1968,3,0,BCS70,2,0.978218338333116,3
26-2 April/May 1968,1970,11,1968,3,0,BCS70,2,0.7173601147776184,5
3-9 May 1968,1970,9,1968,3,0,BCS70,2,0.5869310029998697,7
8-14 March 1969,1970,31,1969,3,0,BCS70,1,2.0216512325551066,9
15-21 March 1969,1970,33,1969,3,0,BCS70,1,2.152080344332855,2
22-28 March 1969,1970,28,1969,3,0,BCS70,1,1.826007564888483,4
29-4 March/April 1969,1970,23,1969,3,0,BCS70,1,1.4999347854441112,6
5-11 April 1969,1970,22,1969,3,0,BCS70,1,1.4347202295552368,8
12-18 April 1969,1970,23,1969,3,0,BCS70,1,1.4999347854441112,1
19-25 April 1969,1970,21,1969,3,0,BCS70,1,1.3695056736663622,3
26-2 April/May 1969,1970,41,1969,3,0,BCS70,1,2.6737967914438503,5
3-9 May 1969,1970,27,1969,3,0,BCS70,1,1.7607930089996087,7
8-14 March 1970,1970,266,1970,3,0,BCS70,0,17.347071866440587,9
15-21 March 1970,1970,279,1970,3,0,BCS70,0,18.194861092995957,2
22-28 March 1970,1970,292,1970,3,0,BCS70,0,19.042650319551324,4
29-4 March/April 1970,1970,203,1970,3,0,BCS70,0,13.238554845441502,6
5-11 April 1970,1970,254,1970,3,1,BCS70,0,16.564497195774095,8
12-18 April 1970,1970,261,1970,3,0,BCS70,0,17.020999086996216,1
19-25 April 1970,1970,249,1970,3,0,BCS70,0,16.238424416329725,3
26-2 April/May 1970,1970,254,1970,3,0,BCS70,0,16.564497195774095,5
3-9 May 1970,1970,253,1970,3,0,BCS70,0,16.499282639885223,7
8-14 March 1971,1970,0,1971,3,0,BCS70,-1,0.0,9
15-21 March 1971,1970,0,1971,3,0,BCS70,-1,0.0,2
22-28 March 1971,1970,0,1971,3,0,BCS70,-1,0.0,4
29-4 March/April 1971,1970,0,1971,3,0,BCS70,-1,0.0,6
5-11 April 1971,1970,0,1971,3,0,BCS70,-1,0.0,8
12-18 April 1971,1970,0,1971,3,0,BCS70,-1,0.0,1
19-25 April 1971,1970,0,1971,3,0,BCS70,-1,0.0,3
26-2 April/May 1971,1970,0,1971,3,0,BCS70,-1,0.0,5
3-9 May 1971,1970,0,1971,3,0,BCS70,-1,0.0,7
8-14 March 1972,1970,0,1972,3,0,BCS70,-2,0.0,9
15-21 March 1972,1970,0,1972,3,0,BCS70,-2,0.0,2
22-28 March 1972,1970,0,1972,3,0,BCS70,-2,0.0,4
29-4 March/April 1972,1970,0,1972,3,0,BCS70,-2,0.0,6
5-11 April 1972,1970,0,1972,3,0,BCS70,-2,0.0,8
12-18 April 1972,1970,0,1972,3,0,BCS70,-2,0.0,1
19-25 April 1972,1970,0,1972,3,0,BCS70,-2,0.0,3
26-2 April/May 1972,1970,0,1972,3,0,BCS70,-2,0.0,5
3-9 May 1972,1970,0,1972,3,0,BCS70,-2,0.0,7
3-9 February 1944,1971,11,1944,1,0,NSHD,27,0.7173601147776184,7
10-16 February 1944,1971,7,1944,1,0,NSHD,27,0.45650189122212076,1
17-23 February 1944,1971,8,1944,1,0,NSHD,27,0.5217164471109951,3
24-1 Feb/March 1944,1971,15,1944,1,0,NSHD,27,0.978218338333116,5
3-9 March 1944,1971,11,1944,1,0,NSHD,27,0.7173601147776184,8
10-16 March 1944,1971,7,1944,1,0,NSHD,27,0.45650189122212076,2
17-23 March 1944,1971,12,1944,1,0,NSHD,27,0.7825746706664928,4
24-30 March 1944,1971,9,1944,1,0,NSHD,27,0.5869310029998697,6
31-6 March/April 1944,1971,15,1944,1,0,NSHD,27,0.978218338333116,9
3-9 February 1945,1971,8,1945,1,0,NSHD,26,0.5217164471109951,7
10-16 February 1945,1971,3,1945,1,0,NSHD,26,0.1956436676666232,1
17-23 February 1945,1971,11,1945,1,0,NSHD,26,0.7173601147776184,3
24-2 Feb/March 1945,1971,8,1945,1,0,NSHD,26,0.5217164471109951,5
3-9 March 1945,1971,10,1945,1,0,NSHD,26,0.652145558888744,8
10-16 March 1945,1971,8,1945,1,0,NSHD,26,0.5217164471109951,2
17-23 March 1945,1971,10,1945,1,0,NSHD,26,0.652145558888744,4
24-30 March 1945,1971,10,1945,1,0,NSHD,26,0.652145558888744,6
31-6 March/April 1945,1971,7,1945,1,0,NSHD,26,0.45650189122212076,9
3-9 February 1946,1971,7,1946,1,0,NSHD,25,0.45650189122212076,7
10-16 February 1946,1971,7,1946,1,0,NSHD,25,0.45650189122212076,1
17-23 February 1946,1971,13,1946,1,0,NSHD,25,0.8477892265553671,3
24-2 Feb/March 1946,1971,10,1946,1,0,NSHD,25,0.652145558888744,5
3-9 March 1946,1971,12,1946,1,1,NSHD,25,0.7825746706664928,8
10-16 March 1946,1971,9,1946,1,0,NSHD,25,0.5869310029998697,2
17-23 March 1946,1971,11,1946,1,0,NSHD,25,0.7173601147776184,4
24-30 March 1946,1971,9,1946,1,0,NSHD,25,0.5869310029998697,6
31-6 March/April 1946,1971,16,1946,1,0,NSHD,25,1.0434328942219901,9
3-9 February 1947,1971,5,1947,1,0,NSHD,24,0.326072779444372,7
10-16 February 1947,1971,13,1947,1,0,NSHD,24,0.8477892265553671,1
17-23 February 1947,1971,9,1947,1,0,NSHD,24,0.5869310029998697,3
24-2 Feb/March 1947,1971,6,1947,1,0,NSHD,24,0.3912873353332464,5
3-9 March 1947,1971,10,1947,1,0,NSHD,24,0.652145558888744,8
10-16 March 1947,1971,11,1947,1,0,NSHD,24,0.7173601147776184,2
17-23 March 1947,1971,16,1947,1,0,NSHD,24,1.0434328942219901,4
24-30 March 1947,1971,10,1947,1,0,NSHD,24,0.652145558888744,6
31-6 March/April 1947,1971,6,1947,1,0,NSHD,24,0.3912873353332464,9
3-9 February 1948,1971,12,1948,1,0,NSHD,23,0.7825746706664928,7
10-16 February 1948,1971,10,1948,1,0,NSHD,23,0.652145558888744,1
17-23 February 1948,1971,10,1948,1,0,NSHD,23,0.652145558888744,3
24-1 Feb/March 1948,1971,9,1948,1,0,NSHD,23,0.5869310029998697,5
3-9 March 1948,1971,11,1948,1,0,NSHD,23,0.7173601147776184,8
10-16 March 1948,1971,9,1948,1,0,NSHD,23,0.5869310029998697,2
17-23 March 1948,1971,9,1948,1,0,NSHD,23,0.5869310029998697,4
24-30 March 1948,1971,12,1948,1,0,NSHD,23,0.7825746706664928,6
31-6 March/April 1948,1971,8,1948,1,0,NSHD,23,0.5217164471109951,9
3-9 February 1956,1971,2,1956,2,0,NCDS,15,0.13042911177774877,7
10-16 February 1956,1971,5,1956,2,0,NCDS,15,0.326072779444372,1
17-23 February 1956,1971,5,1956,2,0,NCDS,15,0.326072779444372,3
24-1 Feb/March 1956,1971,5,1956,2,0,NCDS,15,0.326072779444372,5
3-9 March 1956,1971,9,1956,2,0,NCDS,15,0.5869310029998697,8
10-16 March 1956,1971,3,1956,2,0,NCDS,15,0.1956436676666232,2
17-23 March 1956,1971,5,1956,2,0,NCDS,15,0.326072779444372,4
24-30 March 1956,1971,5,1956,2,0,NCDS,15,0.326072779444372,6
31-6 March/April 1956,1971,12,1956,2,0,NCDS,15,0.7825746706664928,9
3-9 February 1957,1971,10,1957,2,0,NCDS,14,0.652145558888744,7
10-16 February 1957,1971,4,1957,2,0,NCDS,14,0.26085822355549754,1
17-23 February 1957,1971,7,1957,2,0,NCDS,14,0.45650189122212076,3
24-2 Feb/March 1957,1971,4,1957,2,0,NCDS,14,0.26085822355549754,5
3-9 March 1957,1971,6,1957,2,0,NCDS,14,0.3912873353332464,8
10-16 March 1957,1971,2,1957,2,0,NCDS,14,0.13042911177774877,2
17-23 March 1957,1971,4,1957,2,0,NCDS,14,0.26085822355549754,4
24-30 March 1957,1971,3,1957,2,0,NCDS,14,0.1956436676666232,6
31-6 March/April 1957,1971,4,1957,2,0,NCDS,14,0.26085822355549754,9
3-9 February 1958,1971,8,1958,2,0,NCDS,13,0.5217164471109951,7
10-16 February 1958,1971,8,1958,2,0,NCDS,13,0.5217164471109951,1
17-23 February 1958,1971,4,1958,2,0,NCDS,13,0.26085822355549754,3
24-2 Feb/March 1958,1971,3,1958,2,0,NCDS,13,0.1956436676666232,5
3-9 March 1958,1971,4,1958,2,1,NCDS,13,0.26085822355549754,8
10-16 March 1958,1971,6,1958,2,0,NCDS,13,0.3912873353332464,2
17-23 March 1958,1971,5,1958,2,0,NCDS,13,0.326072779444372,4
24-30 March 1958,1971,5,1958,2,0,NCDS,13,0.326072779444372,6
31-6 March/April 1958,1971,2,1958,2,0,NCDS,13,0.13042911177774877,9
3-9 February 1959,1971,4,1959,2,0,NCDS,12,0.26085822355549754,7
10-16 February 1959,1971,4,1959,2,0,NCDS,12,0.26085822355549754,1
17-23 February 1959,1971,1,1959,2,0,NCDS,12,0.06521455588887438,3
24-2 Feb/March 1959,1971,10,1959,2,0,NCDS,12,0.652145558888744,5
3-9 March 1959,1971,1,1959,2,0,NCDS,12,0.06521455588887438,8
10-16 March 1959,1971,2,1959,2,0,NCDS,12,0.13042911177774877,2
17-23 March 1959,1971,8,1959,2,0,NCDS,12,0.5217164471109951,4
24-30 March 1959,1971,3,1959,2,0,NCDS,12,0.1956436676666232,6
31-6 March/April 1959,1971,0,1959,2,0,NCDS,12,0.0,9
3-9 February 1960,1971,6,1960,2,0,NCDS,11,0.3912873353332464,7
10-16 February 1960,1971,9,1960,2,0,NCDS,11,0.5869310029998697,1
17-23 February 1960,1971,4,1960,2,0,NCDS,11,0.26085822355549754,3
24-1 Feb/March 1960,1971,5,1960,2,0,NCDS,11,0.326072779444372,5
3-9 March 1960,1971,7,1960,2,0,NCDS,11,0.45650189122212076,8
10-16 March 1960,1971,6,1960,2,0,NCDS,11,0.3912873353332464,2
17-23 March 1960,1971,9,1960,2,0,NCDS,11,0.5869310029998697,4
24-30 March 1960,1971,4,1960,2,0,NCDS,11,0.26085822355549754,6
31-6 March/April 1960,1971,4,1960,2,0,NCDS,11,0.26085822355549754,9
8-14 March 1968,1971,9,1968,3,0,BCS70,3,0.5869310029998697,9
15-21 March 1968,1971,10,1968,3,0,BCS70,3,0.652145558888744,2
22-28 March 1968,1971,10,1968,3,0,BCS70,3,0.652145558888744,4
29-4 March/April 1968,1971,6,1968,3,0,BCS70,3,0.3912873353332464,6
5-11 April 1968,1971,12,1968,3,0,BCS70,3,0.7825746706664928,8
12-18 April 1968,1971,5,1968,3,0,BCS70,3,0.326072779444372,1
19-25 April 1968,1971,12,1968,3,0,BCS70,3,0.7825746706664928,3
26-2 April/May 1968,1971,10,1968,3,0,BCS70,3,0.652145558888744,5
3-9 May 1968,1971,14,1968,3,0,BCS70,3,0.9130037824442415,7
8-14 March 1969,1971,8,1969,3,0,BCS70,2,0.5217164471109951,9
15-21 March 1969,1971,12,1969,3,0,BCS70,2,0.7825746706664928,2
22-28 March 1969,1971,9,1969,3,0,BCS70,2,0.5869310029998697,4
29-4 March/April 1969,1971,11,1969,3,0,BCS70,2,0.7173601147776184,6
5-11 April 1969,1971,12,1969,3,0,BCS70,2,0.7825746706664928,8
12-18 April 1969,1971,11,1969,3,0,BCS70,2,0.7173601147776184,1
19-25 April 1969,1971,15,1969,3,0,BCS70,2,0.978218338333116,3
26-2 April/May 1969,1971,10,1969,3,0,BCS70,2,0.652145558888744,5
3-9 May 1969,1971,12,1969,3,0,BCS70,2,0.7825746706664928,7
8-14 March 1970,1971,23,1970,3,0,BCS70,1,1.4999347854441112,9
15-21 March 1970,1971,26,1970,3,0,BCS70,1,1.6955784531107343,2
22-28 March 1970,1971,17,1970,3,0,BCS70,1,1.1086474501108647,4
29-4 March/April 1970,1971,14,1970,3,0,BCS70,1,0.9130037824442415,6
5-11 April 1970,1971,29,1970,3,1,BCS70,1,1.8912221207773574,8
12-18 April 1970,1971,21,1970,3,0,BCS70,1,1.3695056736663622,1
19-25 April 1970,1971,23,1970,3,0,BCS70,1,1.4999347854441112,3
26-2 April/May 1970,1971,28,1970,3,0,BCS70,1,1.826007564888483,5
3-9 May 1970,1971,23,1970,3,0,BCS70,1,1.4999347854441112,7
8-14 March 1971,1971,247,1971,3,0,BCS70,0,16.107995304551977,9
15-21 March 1971,1971,254,1971,3,0,BCS70,0,16.564497195774095,2
22-28 March 1971,1971,267,1971,3,0,BCS70,0,17.412286422329466,4
29-4 March/April 1971,1971,272,1971,3,0,BCS70,0,17.738359201773836,6
5-11 April 1971,1971,276,1971,3,0,BCS70,0,17.99921742532933,8
12-18 April 1971,1971,266,1971,3,0,BCS70,0,17.347071866440587,1
19-25 April 1971,1971,244,1971,3,0,BCS70,0,15.91235163688535,3
26-2 April/May 1971,1971,264,1971,3,0,BCS70,0,17.21664275466284,5
3-9 May 1971,1971,230,1971,3,0,BCS70,0,14.999347854441112,7
8-14 March 1972,1971,0,1972,3,0,BCS70,-1,0.0,9
15-21 March 1972,1971,0,1972,3,0,BCS70,-1,0.0,2
22-28 March 1972,1971,0,1972,3,0,BCS70,-1,0.0,4
29-4 March/April 1972,1971,0,1972,3,0,BCS70,-1,0.0,6
5-11 April 1972,1971,0,1972,3,0,BCS70,-1,0.0,8
12-18 April 1972,1971,0,1972,3,0,BCS70,-1,0.0,1
19-25 April 1972,1971,0,1972,3,0,BCS70,-1,0.0,3
26-2 April/May 1972,1971,0,1972,3,0,BCS70,-1,0.0,5
3-9 May 1972,1971,0,1972,3,0,BCS70,-1,0.0,7
3-9 February 1944,1972,10,1944,1,0,NSHD,28,0.652145558888744,7
10-16 February 1944,1972,7,1944,1,0,NSHD,28,0.45650189122212076,1
17-23 February 1944,1972,11,1944,1,0,NSHD,28,0.7173601147776184,3
24-1 Feb/March 1944,1972,7,1944,1,0,NSHD,28,0.45650189122212076,5
3-9 March 1944,1972,6,1944,1,0,NSHD,28,0.3912873353332464,8
10-16 March 1944,1972,6,1944,1,0,NSHD,28,0.3912873353332464,2
17-23 March 1944,1972,12,1944,1,0,NSHD,28,0.7825746706664928,4
24-30 March 1944,1972,11,1944,1,0,NSHD,28,0.7173601147776184,6
31-6 March/April 1944,1972,7,1944,1,0,NSHD,28,0.45650189122212076,9
3-9 February 1945,1972,11,1945,1,0,NSHD,27,0.7173601147776184,7
10-16 February 1945,1972,13,1945,1,0,NSHD,27,0.8477892265553671,1
17-23 February 1945,1972,11,1945,1,0,NSHD,27,0.7173601147776184,3
24-2 Feb/March 1945,1972,10,1945,1,0,NSHD,27,0.652145558888744,5
3-9 March 1945,1972,9,1945,1,0,NSHD,27,0.5869310029998697,8
10-16 March 1945,1972,9,1945,1,0,NSHD,27,0.5869310029998697,2
17-23 March 1945,1972,8,1945,1,0,NSHD,27,0.5217164471109951,4
24-30 March 1945,1972,9,1945,1,0,NSHD,27,0.5869310029998697,6
31-6 March/April 1945,1972,6,1945,1,0,NSHD,27,0.3912873353332464,9
3-9 February 1946,1972,5,1946,1,0,NSHD,26,0.326072779444372,7
10-16 February 1946,1972,5,1946,1,0,NSHD,26,0.326072779444372,1
17-23 February 1946,1972,8,1946,1,0,NSHD,26,0.5217164471109951,3
24-2 Feb/March 1946,1972,6,1946,1,0,NSHD,26,0.3912873353332464,5
3-9 March 1946,1972,12,1946,1,1,NSHD,26,0.7825746706664928,8
10-16 March 1946,1972,10,1946,1,0,NSHD,26,0.652145558888744,2
17-23 March 1946,1972,7,1946,1,0,NSHD,26,0.45650189122212076,4
24-30 March 1946,1972,9,1946,1,0,NSHD,26,0.5869310029998697,6
31-6 March/April 1946,1972,6,1946,1,0,NSHD,26,0.3912873353332464,9
3-9 February 1947,1972,10,1947,1,0,NSHD,25,0.652145558888744,7
10-16 February 1947,1972,8,1947,1,0,NSHD,25,0.5217164471109951,1
17-23 February 1947,1972,13,1947,1,0,NSHD,25,0.8477892265553671,3
24-2 Feb/March 1947,1972,11,1947,1,0,NSHD,25,0.7173601147776184,5
3-9 March 1947,1972,8,1947,1,0,NSHD,25,0.5217164471109951,8
10-16 March 1947,1972,11,1947,1,0,NSHD,25,0.7173601147776184,2
17-23 March 1947,1972,12,1947,1,0,NSHD,25,0.7825746706664928,4
24-30 March 1947,1972,11,1947,1,0,NSHD,25,0.7173601147776184,6
31-6 March/April 1947,1972,19,1947,1,0,NSHD,25,1.2390765618886135,9
3-9 February 1948,1972,10,1948,1,0,NSHD,24,0.652145558888744,7
10-16 February 1948,1972,10,1948,1,0,NSHD,24,0.652145558888744,1
17-23 February 1948,1972,9,1948,1,0,NSHD,24,0.5869310029998697,3
24-1 Feb/March 1948,1972,9,1948,1,0,NSHD,24,0.5869310029998697,5
3-9 March 1948,1972,16,1948,1,0,NSHD,24,1.0434328942219901,8
10-16 March 1948,1972,11,1948,1,0,NSHD,24,0.7173601147776184,2
17-23 March 1948,1972,14,1948,1,0,NSHD,24,0.9130037824442415,4
24-30 March 1948,1972,10,1948,1,0,NSHD,24,0.652145558888744,6
31-6 March/April 1948,1972,6,1948,1,0,NSHD,24,0.3912873353332464,9
3-9 February 1956,1972,7,1956,2,0,NCDS,16,0.45650189122212076,7
10-16 February 1956,1972,12,1956,2,0,NCDS,16,0.7825746706664928,1
17-23 February 1956,1972,5,1956,2,0,NCDS,16,0.326072779444372,3
24-1 Feb/March 1956,1972,6,1956,2,0,NCDS,16,0.3912873353332464,5
3-9 March 1956,1972,9,1956,2,0,NCDS,16,0.5869310029998697,8
10-16 March 1956,1972,9,1956,2,0,NCDS,16,0.5869310029998697,2
17-23 March 1956,1972,10,1956,2,0,NCDS,16,0.652145558888744,4
24-30 March 1956,1972,2,1956,2,0,NCDS,16,0.13042911177774877,6
31-6 March/April 1956,1972,6,1956,2,0,NCDS,16,0.3912873353332464,9
3-9 February 1957,1972,4,1957,2,0,NCDS,15,0.26085822355549754,7
10-16 February 1957,1972,7,1957,2,0,NCDS,15,0.45650189122212076,1
17-23 February 1957,1972,8,1957,2,0,NCDS,15,0.5217164471109951,3
24-2 Feb/March 1957,1972,5,1957,2,0,NCDS,15,0.326072779444372,5
3-9 March 1957,1972,3,1957,2,0,NCDS,15,0.1956436676666232,8
10-16 March 1957,1972,8,1957,2,0,NCDS,15,0.5217164471109951,2
17-23 March 1957,1972,5,1957,2,0,NCDS,15,0.326072779444372,4
24-30 March 1957,1972,8,1957,2,0,NCDS,15,0.5217164471109951,6
31-6 March/April 1957,1972,4,1957,2,0,NCDS,15,0.26085822355549754,9
3-9 February 1958,1972,3,1958,2,0,NCDS,14,0.1956436676666232,7
10-16 February 1958,1972,3,1958,2,0,NCDS,14,0.1956436676666232,1
17-23 February 1958,1972,3,1958,2,0,NCDS,14,0.1956436676666232,3
24-2 Feb/March 1958,1972,3,1958,2,0,NCDS,14,0.1956436676666232,5
3-9 March 1958,1972,7,1958,2,1,NCDS,14,0.45650189122212076,8
10-16 March 1958,1972,4,1958,2,0,NCDS,14,0.26085822355549754,2
17-23 March 1958,1972,5,1958,2,0,NCDS,14,0.326072779444372,4
24-30 March 1958,1972,2,1958,2,0,NCDS,14,0.13042911177774877,6
31-6 March/April 1958,1972,5,1958,2,0,NCDS,14,0.326072779444372,9
3-9 February 1959,1972,1,1959,2,0,NCDS,13,0.06521455588887438,7
10-16 February 1959,1972,4,1959,2,0,NCDS,13,0.26085822355549754,1
17-23 February 1959,1972,6,1959,2,0,NCDS,13,0.3912873353332464,3
24-2 Feb/March 1959,1972,2,1959,2,0,NCDS,13,0.13042911177774877,5
3-9 March 1959,1972,0,1959,2,0,NCDS,13,0.0,8
10-16 March 1959,1972,6,1959,2,0,NCDS,13,0.3912873353332464,2
17-23 March 1959,1972,4,1959,2,0,NCDS,13,0.26085822355549754,4
24-30 March 1959,1972,3,1959,2,0,NCDS,13,0.1956436676666232,6
31-6 March/April 1959,1972,5,1959,2,0,NCDS,13,0.326072779444372,9
3-9 February 1960,1972,3,1960,2,0,NCDS,12,0.1956436676666232,7
10-16 February 1960,1972,4,1960,2,0,NCDS,12,0.26085822355549754,1
17-23 February 1960,1972,5,1960,2,0,NCDS,12,0.326072779444372,3
24-1 Feb/March 1960,1972,4,1960,2,0,NCDS,12,0.26085822355549754,5
3-9 March 1960,1972,2,1960,2,0,NCDS,12,0.13042911177774877,8
10-16 March 1960,1972,5,1960,2,0,NCDS,12,0.326072779444372,2
