study,group,spec,coef,se,pval,n,stars
NSHD 1946,1,Pooled,0.1299696070285804,0.05904757636376437,0.027728961244626923,1980,**
NCDS 1958,2,Pooled,-0.021292708980971027,0.023314320571884945,0.36109064593701823,1980,
BCS70 1970,3,Pooled,0.07468209914681781,0.019158034602980933,9.690517044076299e-05,1953,***
