center_year,geography,race_label,sex_label,e0,e0_lo,e0_hi
2006,Statewide,White,Male,77.39981388538405,77.29677473593314,77.51064325943857
2006,Statewide,White,Female,82.04864506236135,81.9417680536903,82.14764442677352
2006,Statewide,Black,Male,69.8285735110769,69.3117017317903,70.41674758294685
2006,Statewide,Black,Female,75.81195105356046,75.3421088165084,76.28912388888104
2006,Milwaukee,White,Male,76.35360023525494,76.0703955969679,76.67574996132292
2006,Milwaukee,White,Female,81.28417848824458,81.02193165910037,81.59087068918885
2006,Milwaukee,Black,Male,67.72909231378367,67.12693785184138,68.39355114062684
2006,Milwaukee,Black,Female,75.24115326280965,74.70941234591207,75.83146326761029
2006,Dane,White,Male,79.36358738833498,79.03760643668843,79.7616872859392
2006,Dane,White,Female,83.27358773750534,82.86620026088777,83.68043160909066
2006,Dane,Black,Male,74.07591483777063,71.38523447692347,81.31011879902097
2006,Dane,Black,Female,78.22034424396107,75.6214235335535,82.39410473782573
2006,Rest_of_WI,White,Male,77.36597137003318,77.22772994863567,77.48524608897316
2006,Rest_of_WI,White,Female,82.06051788491845,81.95498325355855,82.18040589710982
2006,Rest_of_WI,Black,Male,75.27039567897324,73.9993193704153,76.90210560761271
2006,Rest_of_WI,Black,Female,77.69186169721297,76.39424723125809,79.12814423313014
2007,Statewide,White,Male,77.62307425289161,77.52387458305789,77.73145242315046
2007,Statewide,White,Female,82.22347001822321,82.12472136485347,82.32302744187045
2007,Statewide,Black,Male,70.60803375332482,70.05953053059025,71.14812170991792
2007,Statewide,Black,Female,76.07709240958565,75.58842856313883,76.66046771715548
2007,Milwaukee,White,Male,76.65915240550581,76.31999219326953,76.94624918204094
2007,Milwaukee,White,Female,81.51036955460006,81.23093991916804,81.80304789091049
2007,Milwaukee,Black,Male,68.76618101513864,68.10594682530987,69.39415798482946
2007,Milwaukee,Black,Female,75.55282534848975,74.93607349421639,76.17350953577434
2007,Dane,White,Male,79.60188991860566,79.22137976916866,79.99490413569757
2007,Dane,White,Female,83.43031175568116,83.07936783332133,83.84499143950856
2007,Dane,Black,Male,73.05675339253897,71.22269409958258,75.82682265956369
2007,Dane,Black,Female,76.33995111159766,74.00626122841724,79.25331013684684
2007,Rest_of_WI,White,Male,77.573784081594,77.4549664695186,77.69641901500506
2007,Rest_of_WI,White,Female,82.21900655623853,82.10134146357886,82.32182544417589
2007,Rest_of_WI,Black,Male,75.42553484531346,74.15548215015856,77.36050502082483
2007,Rest_of_WI,Black,Female,78.09374301196075,76.80049614443105,79.61498158182916
2008,Statewide,White,Male,77.83778733280471,77.73569569356619,77.94299430091081
2008,Statewide,White,Female,82.5161206498825,82.41444731493387,82.62542758611016
2008,Statewide,Black,Male,70.95808280174433,70.44585087618226,71.46989583514771
2008,Statewide,Black,Female,76.74686616762503,76.223270098831,77.28067656087963
2008,Milwaukee,White,Male,76.86112045664541,76.5705497184853,77.15672279757642
2008,Milwaukee,White,Female,81.83330624913569,81.54648356490958,82.12667042485954
2008,Milwaukee,Black,Male,69.09387556605506,68.4343650062737,69.6932820975583
2008,Milwaukee,Black,Female,76.3314261511019,75.71775211938565,76.90143645088973
2008,Dane,White,Male,79.72492603770215,79.32296326908049,80.10345078239898
2008,Dane,White,Female,83.69458266277518,83.32067306030703,84.05362783803297
2008,Dane,Black,Male,73.4679034838428,71.14740442954744,78.0181899509016
2008,Dane,Black,Female,76.03584627942219,74.0019619293342,78.87159196753757
2008,Rest_of_WI,White,Male,77.78586481313363,77.65734433638687,77.91553318821664
2008,Rest_of_WI,White,Female,82.49274087053567,82.36345986943402,82.59888743447338
2008,Rest_of_WI,Black,Male,75.70191921247769,74.48631799597294,77.70263232767323
2008,Rest_of_WI,Black,Female,78.70917522153331,77.45672545041766,80.07144099017815
2009,Statewide,White,Male,78.0029184615633,77.89295526410098,78.10127868334764
2009,Statewide,White,Female,82.63990403012411,82.54802815727673,82.74310026057674
