center_year,sex,actual_gap,cf_gap,reduction,actual_b_e0,cf_b_e0
2006,Male,7.57,2.98,4.59,69.83,74.42
2006,Female,6.24,3.91,2.33,75.81,78.14
2010,Male,6.69,4.0,2.68,71.38,74.07
2010,Female,5.78,5.02,0.76,76.87,77.63
2016,Male,7.91,5.63,2.28,70.03,72.31
2016,Female,5.72,4.15,1.57,76.53,78.11
