dataset,metric,value,top_x,year,computed_date
EdShare,top_x_share,1,10,1994,2026-06-25
EdShare,top_x_share,1,20,1994,2026-06-25
EdShare,hhi,0.05084745762711866,NA,1995,2026-06-25
EdShare,top_x_share,0.06779661016949153,1,1995,2026-06-25
EdShare,top_x_share,0.22033898305084745,3,1995,2026-06-25
EdShare,top_x_share,0.423728813559322,5,1995,2026-06-25
EdShare,top_x_share,0.423728813559322,10,1995,2026-06-25
EdShare,top_x_share,1,20,1995,2026-06-25
EdShare,hhi,0.0927734375,NA,1996,2026-06-25
EdShare,top_x_share,0.125,1,1996,2026-06-25
EdShare,top_x_share,0.375,3,1996,2026-06-25
EdShare,top_x_share,0.375,5,1996,2026-06-25
EdShare,top_x_share,0.375,10,1996,2026-06-25
EdShare,top_x_share,1,20,1996,2026-06-25
EdShare,hhi,0.06243496357960453,NA,1997,2026-06-25
EdShare,top_x_share,0.1935483870967742,1,1997,2026-06-25
EdShare,top_x_share,0.1935483870967742,3,1997,2026-06-25
EdShare,top_x_share,1,5,1997,2026-06-25
EdShare,top_x_share,1,10,1997,2026-06-25
EdShare,top_x_share,1,20,1997,2026-06-25
EdShare,hhi,0.07692307692307689,NA,1998,2026-06-25
EdShare,top_x_share,0.07692307692307693,1,1998,2026-06-25
EdShare,top_x_share,1,3,1998,2026-06-25
EdShare,top_x_share,1,5,1998,2026-06-25
EdShare,top_x_share,1,10,1998,2026-06-25
EdShare,top_x_share,1,20,1998,2026-06-25
EdShare,hhi,0.08680555555555548,NA,1999,2026-06-25
EdShare,top_x_share,0.16666666666666666,1,1999,2026-06-25
EdShare,top_x_share,1,3,1999,2026-06-25
EdShare,top_x_share,1,5,1999,2026-06-25
EdShare,top_x_share,1,10,1999,2026-06-25
EdShare,top_x_share,1,20,1999,2026-06-25
EdShare,hhi,0.11564625850340132,NA,2000,2026-06-25
EdShare,top_x_share,0.19047619047619047,1,2000,2026-06-25
EdShare,top_x_share,0.19047619047619047,3,2000,2026-06-25
EdShare,top_x_share,1,5,2000,2026-06-25
EdShare,top_x_share,1,10,2000,2026-06-25
EdShare,top_x_share,1,20,2000,2026-06-25
EdShare,hhi,0.10000000000000006,NA,2001,2026-06-25
EdShare,top_x_share,0.2,1,2001,2026-06-25
EdShare,top_x_share,1,3,2001,2026-06-25
EdShare,top_x_share,1,5,2001,2026-06-25
EdShare,top_x_share,1,10,2001,2026-06-25
EdShare,top_x_share,1,20,2001,2026-06-25
EdShare,hhi,0.11911357340720224,NA,2002,2026-06-25
EdShare,top_x_share,0.10526315789473684,1,2002,2026-06-25
EdShare,top_x_share,1,3,2002,2026-06-25
EdShare,top_x_share,1,5,2002,2026-06-25
EdShare,top_x_share,1,10,2002,2026-06-25
EdShare,top_x_share,1,20,2002,2026-06-25
EdShare,hhi,0.10430839002267567,NA,2003,2026-06-25
EdShare,top_x_share,0.14285714285714285,1,2003,2026-06-25
EdShare,top_x_share,1,3,2003,2026-06-25
EdShare,top_x_share,1,5,2003,2026-06-25
EdShare,top_x_share,1,10,2003,2026-06-25
EdShare,top_x_share,1,20,2003,2026-06-25
EdShare,hhi,0.11111111111111112,NA,2004,2026-06-25
EdShare,top_x_share,0.4,1,2004,2026-06-25
EdShare,top_x_share,0.4,3,2004,2026-06-25
EdShare,top_x_share,1,5,2004,2026-06-25
EdShare,top_x_share,1,10,2004,2026-06-25
EdShare,top_x_share,1,20,2004,2026-06-25
EdShare,hhi,0.2189349112426036,NA,2005,2026-06-25
EdShare,top_x_share,0.15384615384615385,1,2005,2026-06-25
EdShare,top_x_share,0.15384615384615385,3,2005,2026-06-25
EdShare,top_x_share,1,5,2005,2026-06-25
EdShare,top_x_share,1,10,2005,2026-06-25
EdShare,top_x_share,1,20,2005,2026-06-25
EdShare,hhi,0.2600000000000001,NA,2006,2026-06-25
EdShare,top_x_share,0.2,1,2006,2026-06-25
EdShare,top_x_share,1,3,2006,2026-06-25
EdShare,top_x_share,1,5,2006,2026-06-25
EdShare,top_x_share,1,10,2006,2026-06-25
EdShare,top_x_share,1,20,2006,2026-06-25
EdShare,hhi,0.30864197530864196,NA,2007,2026-06-25
EdShare,top_x_share,1,1,2007,2026-06-25
EdShare,top_x_share,1,3,2007,2026-06-25
EdShare,top_x_share,1,5,2007,2026-06-25
EdShare,top_x_share,1,10,2007,2026-06-25
EdShare,top_x_share,1,20,2007,2026-06-25
EdShare,hhi,0.26530612244897955,NA,2008,2026-06-25
EdShare,top_x_share,1,1,2008,2026-06-25
EdShare,top_x_share,1,3,2008,2026-06-25
EdShare,top_x_share,1,5,2008,2026-06-25
EdShare,top_x_share,1,10,2008,2026-06-25
EdShare,top_x_share,1,20,2008,2026-06-25
EdShare,hhi,0.11111111111111112,NA,2009,2026-06-25
EdShare,top_x_share,0.13333333333333333,1,2009,2026-06-25
EdShare,top_x_share,1,3,2009,2026-06-25
EdShare,top_x_share,1,5,2009,2026-06-25
EdShare,top_x_share,1,10,2009,2026-06-25
EdShare,top_x_share,1,20,2009,2026-06-25
EdShare,hhi,0.2396694214876033,NA,2010,2026-06-25
EdShare,top_x_share,0.36363636363636365,1,2010,2026-06-25
EdShare,top_x_share,1,3,2010,2026-06-25
EdShare,top_x_share,1,5,2010,2026-06-25
EdShare,top_x_share,1,10,2010,2026-06-25
EdShare,top_x_share,1,20,2010,2026-06-25
EdShare,hhi,0.12755102040816332,NA,2011,2026-06-25
EdShare,top_x_share,1,1,2011,2026-06-25
EdShare,top_x_share,1,3,2011,2026-06-25
EdShare,top_x_share,1,5,2011,2026-06-25
EdShare,top_x_share,1,10,2011,2026-06-25
EdShare,top_x_share,1,20,2011,2026-06-25
EdShare,hhi,0.2644628099173554,NA,2012,2026-06-25
EdShare,top_x_share,1,1,2012,2026-06-25
EdShare,top_x_share,1,3,2012,2026-06-25
EdShare,top_x_share,1,5,2012,2026-06-25
EdShare,top_x_share,1,10,2012,2026-06-25
EdShare,top_x_share,1,20,2012,2026-06-25
EdShare,hhi,0.18343195266272194,NA,2013,2026-06-25
EdShare,top_x_share,0.15384615384615385,1,2013,2026-06-25
EdShare,top_x_share,1,3,2013,2026-06-25
EdShare,top_x_share,1,5,2013,2026-06-25
EdShare,top_x_share,1,10,2013,2026-06-25
EdShare,top_x_share,1,20,2013,2026-06-25
EdShare,hhi,0.30578512396694213,NA,2014,2026-06-25
EdShare,top_x_share,0.5454545454545454,1,2014,2026-06-25
EdShare,top_x_share,0.5454545454545454,3,2014,2026-06-25
EdShare,top_x_share,1,5,2014,2026-06-25
EdShare,top_x_share,1,10,2014,2026-06-25
EdShare,top_x_share,1,20,2014,2026-06-25
