author_id,first_year,last_year,n_years_active,n_papers_total
Ferrucci L,2005,2026,22,391
Resnick SM,1995,2026,30,241
Simonsick EM,2006,2026,19,173
An Y,2006,2026,20,129
Metter EJ,1990,2024,26,102
Zonderman AB,1986,2016,23,78
Schrack JA,2010,2026,15,77
Davatzikos C,1998,2026,20,61
Studenski SA,2015,2023,8,60
Tanaka T,2009,2026,16,57
