author_id,first_year,last_year,n_years_active,n_papers_total
Manson JE,2000,2026,26,614
Stefanick ML,2002,2026,25,311
Wactawski-Wende J,2003,2026,24,301
Chlebowski RT,1994,2026,26,295
Shadyab AH,2017,2026,10,279
LaCroix AZ,2002,2026,25,221
Tinker LF,1995,2026,26,216
Wallace RB,2002,2026,25,189
Prentice RL,1996,2026,27,187
Rohan TE,2005,2026,22,183
