author_id,first_year,last_year,n_years_active,n_papers_total
Howard BV,1990,2026,33,218
Lee ET,1990,2026,32,172
Devereux RB,1996,2025,27,134
Best LG,2001,2026,25,108
Umans JG,2007,2026,20,102
Welty TK,1990,2025,25,86
Fabsitz RR,1990,2025,23,83
Navas-Acien A,2009,2026,16,79
Roman MJ,1996,2025,23,74
Cole SA,2006,2026,17,66
