author_id,first_year,last_year,n_years_active,n_papers_total
Harris KM,1997,2026,24,112
Halpern CT,2000,2025,24,104
Beaver KM,2007,2026,19,69
Gordon-Larsen P,1999,2022,20,56
Kim J,2009,2026,13,49
Nagata JM,2018,2026,9,40
Boardman JD,2005,2024,18,36
Testa A,2019,2026,8,32
Jackson DB,2015,2026,10,31
Shanahan MJ,2007,2025,16,31
