author_id,first_year,last_year,n_years_active,n_papers_total
Muller C,2015,2025,11,25
Warren JR,2015,2025,9,19
Grodsky E,2017,2025,8,17
Carroll JM,2017,2022,5,6
Manly JJ,2022,2025,3,6
Brickman AM,2023,2025,2,5
Duncombe A,2020,2022,2,4
Hung K,2021,2025,2,3
Kearney MS,2015,2019,3,3
Levine PB,2015,2019,3,3
