author_id,first_year,last_year,n_years_active,n_papers_total
Baker FC,2019,2026,8,122
Nagata JM,2021,2026,6,121
Ganson KT,2021,2026,6,97
Barch DM,2017,2026,10,91
Testa A,2022,2026,5,81
Tapert SF,2017,2026,10,75
Thompson WK,2018,2026,9,75
Garavan H,2018,2026,9,63
Herting MM,2018,2026,9,52
Karcher NR,2018,2026,9,46
