author_id,first_year,last_year,n_years_active,n_papers_total
Hauser RM,1964,2019,47,133
Sewell WH,1963,2004,28,59
Herd P,2010,2026,15,44
Carr D,1994,2025,20,42
Stephan Y,2016,2026,11,38
Sutin AR,2016,2026,11,38
Terracciano A,2016,2026,11,38
Warren JR,1994,2026,24,33
Greenberg JS,2001,2021,16,32
Moorman SM,2007,2025,16,28
